n,log_loss,margin_mae,accuracy,season,model
189,0.6355047602804089,11.431164095561027,0.6820186199271167,1970,massey
189,0.6258500456254795,,0.6550035095786729,1970,bradley_terry
189,0.6221815684327949,11.36420068410501,0.6600970718617778,1970,bayesian_margin
189,0.6523940275219544,12.13372110654762,0.6111111111111112,1970,elo
189,0.6724938312937945,11.263454387146222,0.6414689666323653,1971,massey
189,0.6638737651392437,,0.6030825409910376,1971,bradley_terry
189,0.6535952014917223,11.185804366865316,0.6514285060036694,1971,bayesian_margin
189,0.6646869531293994,11.680030537069836,0.580110497237569,1971,elo
189,0.6365118620647594,11.498066275811214,0.690372004657719,1972,massey
189,0.6083189978645223,,0.696284039141182,1972,bradley_terry
189,0.6143555131310618,11.115246666959512,0.7066985352699638,1972,bayesian_margin
189,0.6598541381185117,12.37482519726914,0.5815217391304348,1972,elo
189,0.5598834839168447,11.794512288742803,0.7469880311150153,1973,massey
189,0.561703645811629,,0.7473067171479871,1973,bradley_terry
189,0.5555269914587004,11.73698716198399,0.730527125765221,1973,bayesian_margin
189,0.6274576995957944,13.3866406546449,0.7032967032967034,1973,elo
189,0.6759780747590294,10.5038769966674,0.6700470311581422,1974,massey
189,0.6592264163136163,,0.5795120517342739,1974,bradley_terry
189,0.6429841150382853,10.088816614264069,0.6806290417401528,1974,bayesian_margin
189,0.665696729384269,10.330353451476041,0.6223404255319149,1974,elo
189,0.6103335846694993,11.715065357171683,0.6613756613756614,1975,massey
189,0.6036556673407201,,0.6825396825396826,1975,bradley_terry
189,0.5922789532941821,11.451923794705342,0.6825396825396826,1975,bayesian_margin
189,0.6377780398900642,12.353254295897175,0.6507936507936508,1975,elo
203,0.5167550420958595,10.350501222741405,0.7470001263104711,1976,massey
203,0.5375214771830937,,0.7274220032840722,1976,bradley_terry
203,0.5180243757596334,10.318615326825263,0.7370215990905646,1976,bayesian_margin
203,0.6295359486192725,12.61381874615653,0.6534653465346535,1976,elo
203,0.5808298242424631,9.632112244006407,0.6847290640394089,1977,massey
203,0.5809533268228149,,0.7192118226600985,1977,bradley_terry
203,0.5783451713924288,9.526796650091411,0.6945812807881774,1977,bayesian_margin
203,0.6492206829487239,10.806444673033118,0.6305418719211823,1977,elo
233,0.6583829694116811,10.363470610830971,0.6295017727187908,1978,massey
233,0.6449887947751982,,0.6037506997574174,1978,bradley_terry
233,0.6508655307793741,10.203750213755995,0.6035640977794364,1978,bayesian_margin
233,0.6626275563953519,10.474302822837165,0.5689655172413793,1978,elo
